GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B69AA105,B69AB105,B69AC105,B69AA105M,B69AB105M,B69AC105M
"G1300010","2006-2010","Georgia","13","130","Appling County","001","0010","Appling County",910,10273,1009,249,707,237
"G1300030","2006-2010","Georgia","13","130","Atkinson County","003","0030","Atkinson County",856,3739,402,166,307,176
"G1300050","2006-2010","Georgia","13","130","Bacon County","005","0050","Bacon County",823,5939,537,225,514,223
"G1300070","2006-2010","Georgia","13","130","Baker County","007","0070","Baker County",160,1777,269,203,319,317
"G1300090","2006-2010","Georgia","13","130","Baldwin County","009","0090","Baldwin County",2169,21292,5287,334,968,531
"G1300110","2006-2010","Georgia","13","130","Banks County","011","0110","Banks County",1232,9301,1236,201,534,235
"G1300130","2006-2010","Georgia","13","130","Barrow County","013","0130","Barrow County",2942,32572,6230,445,1295,547
"G1300150","2006-2010","Georgia","13","130","Bartow County","015","0150","Bartow County",4519,47930,10393,534,1451,729
"G1300170","2006-2010","Georgia","13","130","Ben Hill County","017","0170","Ben Hill County",1098,8868,1397,247,643,316
"G1300190","2006-2010","Georgia","13","130","Berrien County","019","0190","Berrien County",1351,9548,1319,265,658,265
"G1300210","2006-2010","Georgia","13","130","Bibb County","021","0210","Bibb County",5711,70169,22824,546,1803,952
"G1300230","2006-2010","Georgia","13","130","Bleckley County","023","0230","Bleckley County",686,6577,817,204,625,197
"G1300250","2006-2010","Georgia","13","130","Brantley County","025","0250","Brantley County",778,10008,556,194,647,208
"G1300270","2006-2010","Georgia","13","130","Brooks County","027","0270","Brooks County",841,8072,1677,217,626,319
"G1300290","2006-2010","Georgia","13","130","Bryan County","029","0290","Bryan County",546,12647,5039,175,731,435
"G1300310","2006-2010","Georgia","13","130","Bulloch County","031","0310","Bulloch County",1793,23987,8706,281,1032,575
"G1300330","2006-2010","Georgia","13","130","Burke County","033","0330","Burke County",1250,11687,1290,236,654,245
"G1300350","2006-2010","Georgia","13","130","Butts County","035","0350","Butts County",886,13500,1434,195,750,278
"G1300370","2006-2010","Georgia","13","130","Calhoun County","037","0370","Calhoun County",453,3677,392,105,317,254
"G1300390","2006-2010","Georgia","13","130","Camden County","039","0390","Camden County",658,22593,5961,176,963,513
"G1300430","2006-2010","Georgia","13","130","Candler County","043","0430","Candler County",672,5191,888,214,507,259
"G1300450","2006-2010","Georgia","13","130","Carroll County","045","0450","Carroll County",4982,49932,12269,503,1432,737
"G1300470","2006-2010","Georgia","13","130","Catoosa County","047","0470","Catoosa County",2584,32085,7275,368,1182,529
"G1300490","2006-2010","Georgia","13","130","Charlton County","049","0490","Charlton County",561,7200,602,216,648,191
"G1300510","2006-2010","Georgia","13","130","Chatham County","051","0510","Chatham County",6268,110705,47730,561,2177,1428
"G1300530","2006-2010","Georgia","13","130","Chattahoochee County","053","0530","Chattahoochee County",142,3933,1871,201,481,416
"G1300550","2006-2010","Georgia","13","130","Chattooga County","055","0550","Chattooga County",2105,14213,1418,351,836,287
"G1300570","2006-2010","Georgia","13","130","Cherokee County","057","0570","Cherokee County",4997,83784,44843,545,1967,1268
"G1300590","2006-2010","Georgia","13","130","Clarke County","059","0590","Clarke County",3270,31525,24376,426,1220,877
"G1300610","2006-2010","Georgia","13","130","Clay County","061","0610","Clay County",154,1685,171,66,197,197
"G1300630","2006-2010","Georgia","13","130","Clayton County","063","0630","Clayton County",10472,117774,27944,817,2358,1175
"G1300650","2006-2010","Georgia","13","130","Clinch County","065","0650","Clinch County",434,3283,768,200,393,207
"G1300670","2006-2010","Georgia","13","130","Cobb County","067","0670","Cobb County",18270,228843,192976,1063,3249,2642
"G1300690","2006-2010","Georgia","13","130","Coffee County","069","0690","Coffee County",2385,20893,2883,332,928,316
"G1300710","2006-2010","Georgia","13","130","Colquitt County","071","0710","Colquitt County",2816,21978,3117,392,891,341
"G1300730","2006-2010","Georgia","13","130","Columbia County","073","0730","Columbia County",2160,47995,25583,358,1517,1027
"G1300750","2006-2010","Georgia","13","130","Cook County","075","0750","Cook County",1001,8687,1125,230,603,263
"G1300770","2006-2010","Georgia","13","130","Coweta County","077","0770","Coweta County",3509,55032,20285,458,1443,864
"G1300790","2006-2010","Georgia","13","130","Crawford County","079","0790","Crawford County",620,6857,1176,203,647,347
"G1300810","2006-2010","Georgia","13","130","Crisp County","081","0810","Crisp County",1342,11744,1742,275,727,262
"G1300830","2006-2010","Georgia","13","130","Dade County","083","0830","Dade County",709,8229,1807,140,544,254
"G1300850","2006-2010","Georgia","13","130","Dawson County","085","0850","Dawson County",755,11327,2798,211,716,366
"G1300870","2006-2010","Georgia","13","130","Decatur County","087","0870","Decatur County",1391,14365,2256,262,761,285
"G1300890","2006-2010","Georgia","13","130","DeKalb County","089","0890","DeKalb County",24614,250845,173724,1467,3490,2390
"G1300910","2006-2010","Georgia","13","130","Dodge County","091","0910","Dodge County",1037,10945,1919,204,683,321
"G1300930","2006-2010","Georgia","13","130","Dooly County","093","0930","Dooly County",1085,7707,932,204,644,257
"G1300950","2006-2010","Georgia","13","130","Dougherty County","095","0950","Dougherty County",3532,42859,11293,398,1367,687
"G1300970","2006-2010","Georgia","13","130","Douglas County","097","0970","Douglas County",3661,57978,19094,444,1548,935
"G1300990","2006-2010","Georgia","13","130","Early County","099","0990","Early County",605,5642,972,157,463,212
"G1301010","2006-2010","Georgia","13","130","Echols County","101","1010","Echols County",399,1829,144,257,304,203
"G1301030","2006-2010","Georgia","13","130","Effingham County","103","1030","Effingham County",1464,25260,4903,289,1079,532
"G1301050","2006-2010","Georgia","13","130","Elbert County","105","1050","Elbert County",1353,10952,1302,255,613,221
"G1301070","2006-2010","Georgia","13","130","Emanuel County","107","1070","Emanuel County",1327,11690,1392,223,612,216
"G1301090","2006-2010","Georgia","13","130","Evans County","109","1090","Evans County",668,5344,929,160,392,177
"G1301110","2006-2010","Georgia","13","130","Fannin County","111","1110","Fannin County",1529,12963,2796,276,743,379
"G1301130","2006-2010","Georgia","13","130","Fayette County","113","1130","Fayette County",1443,39236,28881,257,1153,917
"G1301150","2006-2010","Georgia","13","130","Floyd County","115","1150","Floyd County",6150,45180,11218,545,1402,698
"G1301170","2006-2010","Georgia","13","130","Forsyth County","117","1170","Forsyth County",4540,54770,45790,545,1626,1220
"G1301190","2006-2010","Georgia","13","130","Franklin County","119","1190","Franklin County",974,11832,2023,190,669,288
"G1301210","2006-2010","Georgia","13","130","Fulton County","121","1210","Fulton County",21517,282038,275742,1189,3744,3171
"G1301230","2006-2010","Georgia","13","130","Gilmer County","123","1230","Gilmer County",1957,15087,2644,337,863,335
"G1301250","2006-2010","Georgia","13","130","Glascock County","125","1250","Glascock County",177,1642,214,146,173,273
"G1301270","2006-2010","Georgia","13","130","Glynn County","127","1270","Glynn County",1930,36507,13790,325,1388,778
"G1301290","2006-2010","Georgia","13","130","Gordon County","129","1290","Gordon County",3658,26539,4374,411,1067,421
"G1301310","2006-2010","Georgia","13","130","Grady County","131","1310","Grady County",1343,13047,1610,262,674,248
"G1301330","2006-2010","Georgia","13","130","Greene County","133","1330","Greene County",1215,7971,2143,276,531,281
"G1301350","2006-2010","Georgia","13","130","Gwinnett County","135","1350","Gwinnett County",31513,284238,169245,1543,3845,2666
"G1301370","2006-2010","Georgia","13","130","Habersham County","137","1370","Habersham County",3182,18996,5089,414,1175,482
"G1301390","2006-2010","Georgia","13","130","Hall County","139","1390","Hall County",12603,74124,23037,871,1794,939
"G1301410","2006-2010","Georgia","13","130","Hancock County","141","1410","Hancock County",1088,4926,688,313,457,246
"G1301430","2006-2010","Georgia","13","130","Haralson County","143","1430","Haralson County",1804,14921,2064,318,823,333
"G1301450","2006-2010","Georgia","13","130","Harris County","145","1450","Harris County",917,14358,5777,208,749,445
"G1301470","2006-2010","Georgia","13","130","Hart County","147","1470","Hart County",1428,13339,2647,257,741,320
"G1301490","2006-2010","Georgia","13","130","Heard County","149","1490","Heard County",525,6641,561,120,474,232
"G1301510","2006-2010","Georgia","13","130","Henry County","151","1510","Henry County",3200,88483,29540,429,1955,1161
"G1301530","2006-2010","Georgia","13","130","Houston County","153","1530","Houston County",3196,61183,20817,422,1601,945
"G1301550","2006-2010","Georgia","13","130","Irwin County","155","1550","Irwin County",648,5143,590,321,582,222
"G1301570","2006-2010","Georgia","13","130","Jackson County","157","1570","Jackson County",3076,28324,6766,378,1110,590
"G1301590","2006-2010","Georgia","13","130","Jasper County","159","1590","Jasper County",524,7277,1193,158,537,225
"G1301610","2006-2010","Georgia","13","130","Jeff Davis County","161","1610","Jeff Davis County",925,7152,1054,245,526,239
"G1301630","2006-2010","Georgia","13","130","Jefferson County","163","1630","Jefferson County",1182,8795,951,215,494,162
"G1301650","2006-2010","Georgia","13","130","Jenkins County","165","1650","Jenkins County",695,4151,711,211,485,289
"G1301670","2006-2010","Georgia","13","130","Johnson County","167","1670","Johnson County",735,5488,609,169,426,246
"G1301690","2006-2010","Georgia","13","130","Jones County","169","1690","Jones County",1007,14597,3241,266,866,375
"G1301710","2006-2010","Georgia","13","130","Lamar County","171","1710","Lamar County",857,9545,1122,213,652,220
"G1301730","2006-2010","Georgia","13","130","Lanier County","173","1730","Lanier County",380,4904,546,192,499,255
"G1301750","2006-2010","Georgia","13","130","Laurens County","175","1750","Laurens County",2190,24197,4987,309,935,434
"G1301770","2006-2010","Georgia","13","130","Lee County","177","1770","Lee County",755,13559,3393,173,752,415
"G1301790","2006-2010","Georgia","13","130","Liberty County","179","1790","Liberty County",994,28152,5677,210,1142,568
"G1301810","2006-2010","Georgia","13","130","Lincoln County","181","1810","Lincoln County",540,4501,541,117,318,216
"G1301830","2006-2010","Georgia","13","130","Long County","183","1830","Long County",308,6337,666,241,545,271
"G1301850","2006-2010","Georgia","13","130","Lowndes County","185","1850","Lowndes County",3432,43554,13472,403,1252,706
"G1301870","2006-2010","Georgia","13","130","Lumpkin County","187","1870","Lumpkin County",1495,13097,3529,322,804,419
"G1301930","2006-2010","Georgia","13","130","Macon County","193","1930","Macon County",1362,7236,1026,246,606,217
"G1301950","2006-2010","Georgia","13","130","Madison County","195","1950","Madison County",1486,14772,2411,277,798,313
"G1301970","2006-2010","Georgia","13","130","Marion County","197","1970","Marion County",379,4754,375,115,453,200
