GeoID,County,Year,Accommodation and food services,"Arts, entertainment, and recreation",Educational services,Administrative and support and waste management and remediation services,"Agriculture, forestry, fishing and hunting",Construction,Durable goods manufacturing,Finance and insurance,Government and government enterprises,Health care and social assistance,Information,Natural resources and mining,Nondurable goods manufacturing,Other services (except government and government enterprises),Private industries,Professional and business services,Real estate and rental and leasing,Retail trade,Transportation and warehousing,Utilities,Wholesale trade,TOT_POP,TOT_MALE,TOT_FEMALE,Unemployment_Rate,Per_Capita_Personal_Income,Real_GDP,Percent_Change_Real_GDP,Bachelor_Degree_or_Higher_Pct,accom_employment_growth_rate,accom_wage_growth_rate,admin_employment_growth_rate,admin_wage_growth_rate,arts_employment_growth_rate,arts_wage_growth_rate,const_employment_growth_rate,const_wage_growth_rate,edu_employment_growth_rate,edu_wage_growth_rate,finance_employment_growth_rate,finance_wage_growth_rate,govt_employment_growth_rate,govt_wage_growth_rate,health_employment_growth_rate,health_wage_growth_rate,info_employment_growth_rate,info_wage_growth_rate,other_svc_employment_growth_rate,other_svc_wage_growth_rate,professional_employment_growth_rate,professional_wage_growth_rate,realestate_employment_growth_rate,realestate_wage_growth_rate,retail_employment_growth_rate,retail_wage_growth_rate,transport_employment_growth_rate,transport_wage_growth_rate,utilities_employment_growth_rate,utilities_wage_growth_rate,wholesale_employment_growth_rate,wholesale_wage_growth_rate
13001,"Appling, GA",2002,,,,,-1.47,-0.04,-0.31,0.01,0.16,-0.13,-0.17,-1.47,-0.39,0.22,-4.97,,0.29,0.08,0.07,-0.23,-0.09,17502,,,7.7,19649,1019253,-4.8,,0.0252100840336133,0.0634187191741346,0.2903225806451612,0.1414755378825534,0.0,-0.0637489827289989,0.0229885057471264,0.1082905418546145,-0.073170731707317,0.2987548377925451,0.1557377049180328,0.1519986560828516,0.0,0.0038174143052058,-0.0151843817787418,0.0427494864351387,0.1896551724137931,0.058184016460381,-0.0511945392491467,0.0465404925065453,0.0,0.1212581363237912,0.3913043478260869,0.1370885866742219,0.0158450704225352,0.0245248920086176,0.0882352941176469,0.1435229280582244,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2003,0.03,,,0.02,2.51,0.33,0.31,-0.17,0.85,0.08,-0.11,2.51,-0.63,0.01,6.29,0.09,0.21,0.09,0.17,0.26,,17732,,,6.6,20590,1092003,7.1,,0.0252100840336133,0.0634187191741346,0.2903225806451612,0.1414755378825534,0.0,-0.0637489827289989,0.0229885057471264,0.1082905418546145,-0.073170731707317,0.2987548377925451,0.1557377049180328,0.1519986560828516,0.0,0.0038174143052058,-0.0151843817787418,0.0427494864351387,0.1896551724137931,0.058184016460381,-0.0511945392491467,0.0465404925065453,0.0,0.1212581363237912,0.3913043478260869,0.1370885866742219,0.0158450704225352,0.0245248920086176,0.0882352941176469,0.1435229280582244,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2004,-0.02,,,-0.26,-0.68,0.8,-0.25,-0.26,0.3,0.41,-0.1,-0.68,-0.43,-0.34,7.17,-0.26,-0.05,0.03,0.2,0.26,,17740,,,6.3,21308,1173554,7.5,,-0.0273224043715847,0.023715204116167,3.5250000000000004,5.0,0.2222222222222223,0.2780782520979545,0.0056179775280897,-0.0113704749744474,-0.073170731707317,0.2987548377925451,0.0283687943262411,0.0687020912306395,0.1499999999999999,0.1053328884352673,-0.0151843817787418,0.0427494864351387,-0.1159420289855072,-0.072514113503095,0.0395683453237409,-0.0689191188978165,-0.0634920634920634,-0.0206951355411869,0.3125,0.1433910745895215,0.0433275563258233,0.0978687903186934,-0.0054054054054053,0.0335761015215179,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2005,0.08,0.0,,,0.02,-1.0,-0.11,0.22,0.39,0.11,0.1,0.02,-0.01,0.03,-6.9,,0.37,0.41,0.1,-0.23,,17769,,,5.9,22248,1097196,-6.5,,0.0308988764044944,0.0204583794407722,0.0497237569060773,0.1697639970231279,0.0,-0.1174569055995432,0.1117318435754191,0.1117820978588544,-0.073170731707317,0.2987548377925451,0.0068965517241379,0.0076127313643665,0.0869565217391303,0.0646429131632764,-0.0151843817787418,0.0427494864351387,-0.1967213114754098,0.0007363165229532,0.1695501730103805,0.3228594333351056,0.1525423728813559,0.0607774309206385,0.1428571428571428,0.3386209276141358,0.2990033222591362,0.1854257088780553,0.1739130434782609,0.3091170839302823,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2006,0.05,0.0,,,-0.75,0.15,-0.11,0.11,-0.65,0.12,0.03,-0.75,-0.37,-0.04,2.75,,-0.33,0.03,0.14,0.26,,17725,,,5.5,22416,1120194,2.1,,-0.0054495912806539,0.0039338321907362,-0.7842105263157895,-0.8126682438640473,0.0,-0.0404148035391495,0.170854271356784,0.3333517877442327,-0.073170731707317,0.2987548377925451,-0.0273972602739726,0.0107358710754996,1.3199999999999998,1.1959558445385277,-0.0151843817787418,0.0427494864351387,-0.1224489795918367,-0.0519021895443635,-0.4408284023668639,-0.3275724287826691,-0.1176470588235294,-0.022016773505596,-0.1875,-0.0407681872138375,-0.0767263427109974,-0.0281644007929863,0.087962962962963,0.0877808820824284,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2007,0.0,0.0,0.0,-0.08,0.31,-0.13,0.11,0.02,-0.32,0.11,0.09,0.31,-0.57,-0.14,-0.66,-0.06,0.78,-0.15,-0.01,-0.23,0.2,17985,,,5.3,23469,1109277,-1.0,,0.3369863013698631,0.2958309681055826,-0.2682926829268293,-0.52932909145944,-0.1818181818181817,0.0481053320378339,0.0171673819742488,0.0248076154291332,-0.073170731707317,0.2987548377925451,0.1408450704225352,0.1339065355339883,0.1896551724137931,0.1926940853143683,-0.0151843817787418,0.0427494864351387,-0.0465116279069767,0.0201078973800052,-0.0423280423280423,-0.0543526457374771,0.0166666666666666,0.0699614935710588,-0.0512820512820513,-0.0189159900222571,-0.0554016620498615,-0.0047719212426985,0.0297872340425531,0.0305561091362442,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2008,0.01,0.0,,,0.13,-0.22,2.03,0.13,-0.26,0.03,-0.02,0.13,0.13,-0.04,8.92,,0.22,0.05,-0.11,0.26,0.13,18133,,,7.1,24403,1205334,8.7,,0.0348360655737705,0.0705661855628261,0.02605321507760533,-0.09275198035195009,0.1111111111111111,0.1228408725428986,0.0337552742616034,0.0655887280582492,-0.073170731707317,0.2987548377925451,0.0308641975308641,0.0421256079052236,-0.0289855072463768,0.0034240196143466,-0.0151843817787418,0.0427494864351387,0.0975609756097561,-0.0842076805579962,-0.0441988950276243,0.0189984776652514,-0.0038934426229508476,0.06641135583134868,0.0270270270270269,0.1413762097740554,-0.0073313782991202,0.0488928249864384,-0.0330578512396694,-0.0702690485744992,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2009,-0.05,0.0,,-0.01,0.41,-0.24,-1.94,0.51,0.29,,-0.04,0.41,0.51,-0.13,-4.74,-0.01,0.53,0.25,-0.05,-0.23,0.01,18144,,,10.1,25090,1151730,-4.4,,-0.1148514851485148,0.0274893216697733,0.32039911308203994,0.3438251307555398,-0.1999999999999999,-0.1563184498736309,-0.2040816326530612,-0.213940534759043,-0.073170731707317,0.2987548377925451,0.0059880239520957,0.0273423569736355,0.0149253731343284,-0.0120859726664082,-0.0151843817787418,0.0427494864351387,-0.1333333333333333,-0.0275975875801114,-0.0635838150289017,-0.1250951591514124,-0.024453551912568296,0.06286121809163855,-0.2631578947368421,-0.265695426551545,-0.0132939438700148,0.0617704684271569,0.0256410256410255,0.06189281855228,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2010,,,0.01,,-0.64,0.32,0.86,-0.4,0.62,0.1,-0.02,-0.64,0.84,0.04,15.23,,0.83,0.15,0.14,0.26,0.23,18337,9234.0,9103.0,11.7,25671,1334301,15.9,8.3,-0.1148514851485148,0.0274893216697733,0.6147450110864745,0.7804022418630296,-0.1999999999999999,-0.1563184498736309,-0.1743589743589744,-0.0519699939366918,-0.073170731707317,0.2987548377925451,-0.2619047619047618,-0.1430241243513081,-0.0294117647058823,-0.0512201977049522,-0.0151843817787418,0.0427494864351387,0.0256410256410255,0.0193425347542672,0.0370370370370369,0.0560427412763502,-0.045013661202185744,0.05931108035192842,-0.1785714285714286,-0.1729721943322275,-0.0059880239520958,0.0006800717496269,-0.0416666666666666,0.0200302860943843,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2011,-0.01,0.0,0.0,0.09,1.05,0.2,0.17,0.25,-0.23,0.03,0.05,1.05,0.5,-0.02,12.13,0.08,-0.11,-0.07,0.16,0.26,-0.13,18459,9369.0,9090.0,12.1,27476,1493128,11.9,9.3,-0.1148514851485148,0.0274893216697733,0.9090909090909092,1.2169793529705195,-0.1999999999999999,-0.1563184498736309,0.0527950310559006,0.044226686352109,0.0,0.0317959754388614,0.2741935483870967,-0.0009232018204318,-0.0454545454545454,-0.0162735807802358,-0.0154185022026431,0.0234037035383569,0.175,0.1256342887299573,-0.0476190476190476,-0.0210688050035674,-0.0655737704918032,0.0557609426122183,-0.0434782608695651,-0.1500020797154949,-0.0180722891566265,-0.0561191903174419,0.0739130434782608,0.0803816205280598,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2012,0.0,0.0,0.0,0.09,0.08,-0.32,0.02,0.04,-0.28,0.02,-0.03,0.08,-0.27,-0.11,3.16,0.1,-1.3,0.38,-0.07,0.26,0.19,18382,9276.0,9106.0,11.0,27853,1536188,2.9,11.3,-0.1148514851485148,0.0274893216697733,1.0476190476190474,1.134704327150644,-0.1999999999999999,-0.1563184498736309,-0.1091445427728613,-0.057770291896347,0.0,0.0439524153882011,-0.189873417721519,0.0128866278882096,-0.0158730158730159,-0.048984236712022,0.0,0.0075948462502055,-0.2340425531914893,-0.1524603523180069,-0.26875,-0.323606166599749,0.1052631578947369,0.0519585697160867,0.0,0.1927350466560846,0.2914110429447853,0.3027200755179027,-0.0161943319838057,0.006360355118326,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2013,0.03,-0.01,0.0,0.18,0.86,-0.15,0.06,0.0,0.11,-0.21,0.04,0.86,-0.21,-0.04,-3.12,0.19,-0.58,0.45,0.09,-0.23,0.02,18367,9179.0,9188.0,10.7,28660,1489906,-3.0,12.8,-0.1148514851485148,0.0274893216697733,0.7093023255813953,1.13837138080875,-0.1999999999999999,-0.1563184498736309,-0.0033112582781457,0.0122933582278477,0.0,0.0020580814044186,0.0,0.0743631597990392,-0.0483870967741935,0.0081627581847725,-0.2863534675615212,-0.2789538321632375,-0.0833333333333333,-0.0271725184262527,-0.0598290598290598,-0.0894030841890638,0.0,0.023114474031372,-0.1363636363636363,-0.3167762862674205,-0.005938242280285,0.0469358184660815,0.0370370370370369,-0.0274270850798342,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2014,0.09,,,-0.09,0.37,0.07,-0.04,0.1,-0.18,,-0.02,0.37,-0.4,0.02,-0.35,-0.11,0.11,1.12,0.06,-0.23,0.05,18469,9198.0,9271.0,8.9,30003,1481920,-0.5,12.9,-0.1148514851485148,0.0274893216697733,-0.3741496598639455,-0.2003638596534467,-0.1999999999999999,-0.1563184498736309,0.1528239202657806,0.2104585392431506,0.0,0.0020580814044186,-0.015625,-0.0224768406137867,-0.0169491525423728,-0.0190607291905965,-0.2863534675615212,-0.2789538321632375,-0.0303030303030302,0.0822284861250701,-0.009090909090909,-0.130458335537844,-0.0952380952380952,-0.0595301272437553,0.0526315789473683,-0.0738721021441412,0.0692951015531659,0.1268347121827746,0.1428571428571428,0.1081678325706887,,,0.1398305084745763,0.4407432371339093
13001,"Appling, GA",2015,0.04,0.0,0.0,0.02,1.58,0.17,-0.01,-0.15,-0.09,0.07,0.02,1.58,-0.07,-0.01,1.78,0.07,0.14,0.71,0.07,-0.23,0.05,18420,9193.0,9227.0,7.4,31503,1507038,1.7,13.1,-0.1148514851485148,0.0274893216697733,-0.0434782608695651,0.1803873368477433,-0.1999999999999999,-0.1563184498736309,0.1469740634005762,0.1746627744161295,0.0,0.0020580814044186,0.0476190476190476,0.0821586423539351,-0.0344827586206896,-0.0191078684947346,-0.2863534675615212,-0.2789538321632375,-0.03125,-0.2111036455297146,0.146788990825688,0.0982106693257338,0.087719298245614,0.2085522579140382,-0.1999999999999999,-0.3007651034997001,0.1329608938547486,0.1606606855496153,-0.0243055555555555,0.0430988774879432,,,0.1398305084745763,0.4407432371339093
