"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
County
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13000,Georgia,3292,3542,3823,4203,4656,5019,5354,5881,6396,7154,7850,8604,9594,10237,11066,12305,13191,14104,14847,15948,16928,17831,18333,19347,20070,21070,22210,23437,24356,26107,27184,28760,29693,30086,30805,31982,33283,34574,35440,35272,34213,34740,36760,37250,37484,39550,41527,42742,44836,46624,48529,51463,56088,57290,59882
13001,"Appling, GA",2099,2420,2749,3427,3820,3890,4378,4667,4499,5578,5819,5916,7606,8306,8607,9962,9892,10950,10970,11168,11848,12206,13316,13917,14591,16384,16664,17333,17919,18202,18882,19644,19691,19649,20590,21308,22248,22416,23469,24403,25090,25671,27476,27853,28660,30003,31503,31677,33147,33736,35709,39102,42794,44609,48022
13003,"Atkinson, GA",1977,2127,2422,2765,3326,3555,3881,4078,3920,4795,5205,5434,6786,7828,8291,9317,9232,9910,10275,11449,12458,12891,13332,14539,14629,16419,17097,17644,17462,18217,18798,18005,18767,18623,19431,20480,21343,21034,21178,22880,22427,21744,23621,24140,25118,25940,27376,26903,29099,29276,30530,32354,35859,37962,36641
13005,"Bacon, GA",2398,2700,2921,3228,3541,4137,4158,4274,4439,5276,5539,5955,6668,6930,7345,8400,8839,9620,10285,11455,12193,12627,13641,14344,14666,15505,16358,17202,17502,18579,18912,19611,20304,19689,20478,21199,21474,21264,22112,23698,23779,24546,26556,26567,27020,28263,29157,29763,31165,31327,32384,37401,39625,40616,41682
13007,"Baker, GA",1952,2252,2820,2826,3410,4336,4367,4579,4195,5082,6206,5401,7516,7516,8067,11166,10517,10738,10880,12685,12723,13035,13911,14401,14450,16734,18192,18241,18245,18642,19163,20231,22227,23332,23312,22851,25191,24966,27754,28137,27079,30426,36246,38257,37690,33050,33586,34183,35366,37712,40568,44846,51291,49278,47906
13009,"Baldwin, GA",2157,2349,2552,2908,3313,3794,4021,4740,5185,6065,6822,7604,8637,8910,9693,10345,10871,11737,12362,13312,14473,15323,16459,17315,18104,18747,19825,20521,21088,22159,22539,23105,22340,23310,23580,23322,23844,24580,24562,25660,25947,26601,27857,27359,27731,29339,30483,30795,32413,33156,34544,37565,41945,43295,45617
13011,"Banks, GA",2199,2201,2400,2726,3328,3456,4097,4534,4698,5533,5902,6365,6965,7467,8700,9889,10279,10968,10808,12043,13712,14102,14949,16147,17169,18098,18249,19907,20041,21330,22147,22094,23550,22944,23415,24992,25411,24184,25728,27068,25852,25752,26298,29083,29800,31658,33539,34177,36775,37880,37844,39295,43100,44808,43896
13013,"Barrow, GA",2994,3127,3286,3618,4022,4278,4754,5200,5604,6112,6916,7522,8344,8937,9661,10893,11535,12471,12745,13895,14459,14537,15093,15980,16693,17462,18645,19492,20476,22063,22791,23770,23661,23116,23487,25074,26057,27033,27388,28403,27271,26697,28553,30022,30888,32607,33858,34579,36083,37119,38403,41176,45802,48229,50221
13015,"Bartow, GA",3003,3194,3432,3684,4219,4523,4836,5288,5725,6399,6893,7357,8396,8720,9461,10438,10959,11744,12290,13136,14187,15028,15143,16421,17609,18737,19816,21231,21743,23364,24606,26883,26845,27322,27991,27373,27874,28739,29759,29569,28628,28542,30446,31339,31440,33297,34721,35876,36770,38145,40218,43571,47529,49193,51396
13017,"Ben Hill, GA",2442,2730,2953,3123,3409,3820,4142,4493,4715,5656,6088,6296,7240,7622,8461,9595,10227,10785,11330,12118,13038,13752,14521,14780,15558,16795,17540,18420,18932,20127,21270,21080,21521,22583,22636,23762,24881,24628,24556,24054,23916,24910,27263,26461,27128,28056,29340,28500,28813,30322,31697,34856,39268,40383,42217
13019,"Berrien, GA",2752,2827,3072,3326,3653,4282,4200,4530,4348,5382,5968,6044,6800,7375,8011,9119,9566,10425,11263,12420,12735,13988,14510,15642,15933,17388,18198,19116,19759,20406,20795,21869,21809,22300,23633,23594,24386,24537,25905,25420,25010,25084,26480,27771,27320,28263,30038,30654,32198,32734,34285,37733,40308,41012,41787
13021,"Bibb, GA",3544,3885,4191,4464,4767,5265,5766,6231,6606,7077,7779,8652,9671,10336,11048,12079,12872,13692,14551,15715,16994,17735,18460,19489,19945,20941,22427,23907,24400,25793,26522,27748,28281,29639,29902,30162,30849,31880,32635,33438,32689,33438,34747,33985,34170,35650,36636,37056,38296,39169,39957,43268,47437,46655,48455
13023,"Bleckley, GA",2902,3136,3525,3783,4345,4543,4715,5278,5708,5951,6812,6968,8091,8714,9192,10158,10515,12282,12931,13407,14191,14567,15291,16141,16359,17490,17954,19074,20103,20911,21735,22400,23536,24866,26010,26029,26979,27516,28674,28544,28263,29062,29612,30471,31167,31772,32686,32176,33583,34238,35664,39027,43205,41754,42820
13025,"Brantley, GA",2623,2710,3084,3399,3716,4007,4416,4768,4970,5769,6088,6024,6740,7335,7790,8640,9066,9487,9491,10206,11191,11525,12109,12657,13101,13499,14550,15439,15771,16521,17121,17988,19620,20076,20012,20440,21432,22203,22300,22538,22026,21893,22517,22874,23529,24174,26000,27095,27186,28394,29125,32682,35430,36520,37617
13027,"Brooks, GA",2264,2625,2896,3105,3658,3988,3926,4123,3701,4830,4779,4699,5747,6365,6274,7348,7892,8228,9190,9721,10663,11588,12967,13490,13523,15015,16121,17119,18361,18966,19998,21123,21587,21593,23119,22964,24245,24208,26012,27830,28074,27368,30630,29806,29262,30575,31116,31327,32285,33173,34665,37618,40372,40149,40884
13029,"Bryan, GA",2439,2842,3100,3231,3608,3523,4035,4494,4895,5762,6516,7317,8090,9015,9536,10648,11457,12636,13325,13755,14628,15468,16272,17749,17974,18889,19679,20343,20999,23000,23883,25305,27412,28737,31057,32693,35188,38138,40768,42425,41417,42276,44242,43509,42914,44437,45544,46230,46383,48659,48783,51811,55957,58376,60655
13031,"Bulloch, GA",2056,2375,2689,2961,3536,3900,4222,4456,4548,5439,5933,6311,7450,7824,8112,9124,9484,9838,10483,11217,12216,12891,13385,14010,14296,15327,16164,17195,17716,18567,19106,20506,20086,20493,21445,22074,23364,23643,25287,26168,25750,26220,26533,26511,27738,28418,29752,30212,31041,32023,32764,35903,39216,39523,40939
13033,"Burke, GA",2298,2589,2932,3177,3779,3941,4298,4528,4863,5235,6739,6366,7433,8226,8492,9668,10436,10635,11047,11017,11354,12151,12953,13666,13435,14346,14669,15504,15393,15871,16659,17861,18460,19404,20712,21119,22485,23689,24784,25958,26520,27766,29378,28341,28801,30092,31592,31536,32382,32799,35552,39284,41819,42364,42661
13035,"Butts, GA",2547,2728,3049,3448,3579,3903,4203,4589,5121,5737,6459,7272,7943,8015,8753,9663,10073,10961,10923,11340,12427,13035,13614,14795,15168,16793,17806,18259,18968,19858,21079,22169,23095,23068,23805,23929,24900,25198,26240,25999,25444,25361,26452,26685,27803,28552,30236,30874,32435,33956,35365,37357,41345,41896,44514
13037,"Calhoun, GA",1940,2119,2544,2569,3401,3599,3942,4474,4606,5316,5049,5233,6850,7206,7180,9924,9835,10208,11414,12668,13094,13981,15154,16100,14902,16514,17077,17274,16458,16477,17086,17040,18464,19515,19447,19342,19816,19349,21397,22085,21296,21150,22679,23794,23061,22424,23508,24908,26170,25866,29130,31925,35624,34490,35593
13039,"Camden, GA",2579,2750,3029,3381,3618,4186,4523,4835,5349,6322,7838,9158,9680,10220,10584,11252,12043,12616,12931,13932,14491,14701,15386,16037,16738,17633,18339,18562,18784,19644,20886,22030,22009,23345,24613,25023,26352,27984,28749,29295,28970,29561,31158,31020,31041,32044,32852,34322,35589,36089,36850,39457,43723,44809,46608
13043,"Candler, GA",2417,2892,3295,3478,4326,4620,4549,4538,4764,5107,5933,5481,6823,7534,7627,8545,9350,10225,11216,12207,13555,14337,15458,16474,16384,16793,17374,18649,18218,18341,19484,19935,21059,21111,21662,22796,23293,23642,24586,25145,25009,24891,25832,25882,26491,27103,27863,28699,30863,31902,33820,36555,41100,41560,42764
13045,"Carroll, GA",2701,2866,3097,3378,3716,4070,4625,5269,5804,6416,6834,7499,8247,8615,9462,10405,10835,11475,12139,12793,13877,14474,14806,15816,16465,17058,17858,18932,19803,20856,21770,22409,23635,24503,25170,25652,26954,28366,29497,29995,29412,29272,31149,32031,32062,32984,34840,36175,37528,38899,40688,44587,49186,49914,51798
13047,"Catoosa, GA",3057,3037,3376,3727,4102,4302,4637,5144,5556,6290,6925,7347,7927,8285,8864,9671,10066,10852,11549,12353,12931,13457,13970,14741,15641,16718,17299,18551,19481,20496,21443,23021,23472,23919,24430,24710,25683,26647,27335,28168,27447,28255,29251,30043,30050,31062,32154,32568,33777,34814,36066,39048,42143,43876,45791
13049,"Charlton, GA",2092,2269,2441,2748,3174,3337,3856,4326,4959,5601,6245,7179,7665,8157,8605,8975,9367,9789,9778,10320,10912,11251,11750,11924,12149,12555,13068,13729,14166,14503,15115,15553,15863,16699,17123,18131,19113,19620,21103,21075,20871,20698,20722,21061,21768,22132,23092,23973,25426,25934,26602,28970,31040,31582,32717
13051,"Chatham, GA",3473,3685,3980,4217,4598,5102,5763,6358,6899,7749,8351,9362,10543,11203,11933,12904,13797,14712,15276,16285,17648,18493,19076,20265,20660,21607,22631,23863,24468,26396,27214,28480,28604,29381,30867,32199,33820,35744,37246,38219,37226,38432,40366,40026,39982,41062,42520,42429,44377,46066,47050,51430,56536,56676,59376
13053,"Chattahoochee, GA",4831,3585,4012,4319,4543,4928,4781,5364,7788,7114,7448,9043,9827,10162,10355,12026,13437,14669,15863,15848,14989,12249,13677,14545,15108,15075,14806,15223,16416,17465,18377,19818,18338,18258,22865,23254,27577,33982,29322,34426,31959,33889,35485,32572,27742,28199,30550,32461,34177,32568,31806,34510,38654,37760,38026
13055,"Chattooga, GA",2661,2737,2881,3347,3730,4014,4200,4783,5058,5465,6303,6748,7167,7568,8366,8855,9297,10039,10786,11299,12253,13020,13736,14674,15155,15748,16088,16650,16927,17619,18131,18702,18957,19806,19945,20915,20954,22156,22297,22928,23987,24238,24818,24781,26115,26917,27881,28024,29498,30150,31049,33790,37014,37111,38269
13057,"Cherokee, GA",3236,3051,3275,3689,4234,4415,4978,5408,5933,6771,7564,8650,9575,10393,11437,12994,14008,15031,15502,16233,16525,17195,17686,18844,20724,21835,23298,24998,25894,27964,29387,31846,31236,30464,30765,34840,36252,37570,37571,37996,36423,36946,38987,40862,41264,43201,45992,48333,49695,51271,53566,56600,62910,67315,71255
13059,"Clarke, GA",2882,3267,3579,3850,4119,4615,5045,5779,6331,6894,7349,7914,8750,9293,10240,10828,11581,12468,13098,14026,15189,16085,16365,16807,17392,17612,18750,19472,19877,21147,21602,22001,22736,23859,25139,24696,25280,25664,25860,25734,25253,25771,27104,27002,27185,28862,30044,31009,31889,33050,34864,37883,40631,42153,43899
13061,"Clay, GA",1622,1937,2366,2479,3100,3315,3221,3163,2946,3692,4187,3689,5056,5459,5888,7976,7567,7879,8349,9132,9974,10735,12516,13416,13458,15355,16618,17786,18215,18727,19566,20389,24035,26737,28684,27258,25846,23015,24483,25654,25830,26035,26517,26796,27531,26122,28252,30072,30914,32556,33465,39127,40688,38237,39127
13063,"Clayton, GA",3653,3944,4191,4653,4910,5125,5476,6049,6733,7554,8293,9379,10199,10740,11584,12672,13569,14314,15037,15617,16021,16696,16864,17377,17740,18084,18614,19260,19511,20892,21535,22294,22272,22385,22742,22921,23524,23419,24064,24064,24113,24708,25840,24222,24326,25113,25755,26116,26306,26970,28061,32051,35003,33873,34871
13065,"Clinch, GA",2127,2229,2352,2998,3103,3458,3591,3952,4287,5124,5490,5935,6514,7101,7767,8776,9312,9454,9253,9672,10197,11352,12277,13426,14586,15276,16393,16651,16780,17279,17666,17465,17092,18184,18170,18679,18862,20300,21600,22027,24565,25967,29034,29155,30144,31424,33166,34101,34763,35718,37882,41020,42287,43977,45218
13067,"Cobb, GA",4104,4009,4175,4689,5154,5557,6129,6873,7695,8806,9972,11422,12621,13409,14551,16319,17702,18899,19953,20891,21555,22622,23241,24306,25055,26334,27875,30339,31677,34770,36463,37381,39057,39037,40287,41528,42900,43661,44530,43869,41089,41992,44261,44796,45369,48034,50014,51714,55138,57448,59653,62367,67894,71749,75176
13069,"Coffee, GA",2523,2607,2913,3255,3716,3872,4191,4448,4531,5359,5685,5976,6958,7760,8356,9322,9669,10277,11042,12434,13680,14464,15287,15999,16306,17421,17906,18672,18997,20336,21096,21239,20978,21554,21930,22759,23354,23216,24082,25002,24580,24806,26104,25808,26792,28107,29236,29306,31174,31818,32698,35535,40921,39321,40334
13071,"Colquitt, GA",2629,2860,3043,3480,4053,4211,4284,4892,5185,6028,6497,6868,7815,8417,8897,9994,10545,11067,11655,12383,13425,13959,14620,15262,15444,16589,17625,18134,18553,19131,19606,20198,20305,20529,21543,22380,24083,24407,25752,26432,26534,26081,27478,27697,26834,27084,29481,29862,31966,32497,33642,37679,40854,41512,42437
13073,"Columbia, GA",3940,3745,3967,4508,4771,5264,5029,6027,6531,7691,8252,9205,10017,11139,12283,13244,14463,15295,15416,16331,17562,20381,20926,22546,22901,23727,24441,25338,26531,28157,29428,30562,30610,31092,32716,33881,35039,36868,37977,39877,39823,40621,42649,43231,43184,44985,46590,47805,48882,50485,52531,55657,58551,59114,61147
13075,"Cook, GA",2523,2723,3023,3257,3600,4167,4143,4405,4484,5296,5740,5824,6616,7056,7526,8554,8767,9519,10313,10908,11431,11904,12432,13252,13507,14607,15898,16249,16830,17343,18110,18737,19357,20141,21160,21858,22896,23530,24597,25203,25876,26365,27314,27746,27944,27868,29642,29859,30886,32293,33363,36336,39746,39357,40392
13077,"Coweta, GA",3045,3224,3457,4035,4570,4723,5003,5565,6237,6915,7712,8391,9187,9761,10854,11921,12712,13723,14386,15370,16329,16944,17254,18241,19072,19996,21151,22423,23371,24641,25878,27240,27670,27892,28768,29644,30857,32138,34504,36062,35077,33599,35868,37429,38629,40420,42160,44261,46039,48286,50329,53620,57523,59223,62396
13079,"Crawford, GA",2577,2630,2949,3296,3807,4043,4424,4854,5368,6105,6923,7710,8841,9599,10142,10601,10972,11306,11518,12180,12817,13039,13404,14188,14849,15339,16117,16386,17264,18407,19779,20904,20347,22043,23114,23630,24686,25486,27257,28898,28786,28726,29899,28473,28897,29987,31826,31998,33713,34227,34749,36813,40611,40842,40651
13081,"Crisp, GA",2328,2623,2956,3160,3706,3932,4151,4629,4903,5503,5898,6247,7164,7327,7715,8957,9549,10407,11176,12260,12949,13484,13986,14979,15655,16779,17845,18086,18529,19016,19883,20193,20280,20908,21549,21921,22699,22858,22993,23230,23108,23973,26226,26363,27154,28231,30135,31259,33387,34593,37185,41930,46242,46153,48309
13083,"Dade, GA",2406,2555,2713,3074,3332,3627,4015,4468,4954,5671,6056,6515,7225,7444,7995,8830,9343,9854,10549,11249,11454,12094,12754,13331,14207,14761,15805,16560,18124,19227,20224,21477,21883,22189,22677,22861,23868,24473,24682,25611,25114,25842,26658,27902,28553,29652,31749,31583,33366,35276,35078,37786,41069,42382,43769
13085,"Dawson, GA",2999,2663,2623,3312,4160,4161,5183,5181,5327,6105,6636,7225,7855,8184,9150,10921,11533,12877,13446,14023,14924,15070,15803,17087,18417,19911,20543,22353,23256,24552,26154,27140,28396,28771,29085,30616,31760,32510,32787,32989,31860,32218,33969,34523,35466,37262,39812,42619,43923,45817,48500,50853,57601,60181,63599
13087,"Decatur, GA",2103,2379,2606,2946,3498,3821,4149,4626,4823,5597,6087,6317,7801,7804,8611,9535,9704,10440,11182,12178,13092,13898,14671,15137,15559,16897,18027,18467,18961,19766,20612,21217,22242,22989,23809,23981,25948,26116,27439,28647,29007,29301,31097,30666,30209,29467,30553,30987,31223,32719,33824,37424,42214,43054,44657
