rank,county,population,score,tier,survival_prob,revenue_score,projected_revenue,sector_growth_pct,annual_growth_rate,economic_adjustment,p_shrinking,p_flat,p_moderate,p_strong,status,notes
1,"Forsyth, GA",274535,100.0,Cautious Expand,0.5044,0.9519,1.3309636e+06,60.36,9.91,1.511,0.029,0.024,0.227,0.72,ok,
2,"Oconee, GA",44256,98.33000183105469,Cautious Expand,0.5084,0.9273,1.3101546e+06,57.85,9.56,1.488,0.046,0.033,0.221,0.7,ok,
3,"Cherokee, GA",287243,88.56999969482422,Cautious Expand,0.4869,0.9458,1.3052014e+06,57.25,9.48,1.482,0.03,0.031,0.285,0.655,ok,
4,"Coweta, GA",156269,85.9000015258789,Cautious Expand,0.4873,0.87,1.286879e+06,55.05,9.17,1.461,0.105,0.032,0.122,0.741,ok,
5,"Columbia, GA",165470,84.05999755859375,Cautious Expand,0.473,0.9153,1.3136988e+06,58.28,9.62,1.492,0.06,0.031,0.175,0.734,ok,
6,"Paulding, GA",183535,78.8499984741211,Cautious Expand,0.4682,0.9301,1.2919581e+06,55.66,9.25,1.467,0.041,0.036,0.281,0.642,ok,
7,"Jackson, GA",88723,78.5999984741211,Cautious Expand,0.4718,0.8993,1.2804602e+06,54.27,9.06,1.454,0.065,0.045,0.232,0.659,ok,
8,"Butts, GA",26875,75.88999938964844,Cautious Expand,0.4823,0.8107,1.235049e+06,48.8,8.27,1.403,0.116,0.092,0.14,0.653,ok,pop_dampened
9,"Chatham, GA",304757,75.55999755859375,Cautious Expand,0.4591,0.9452,1.2952816e+06,56.06,9.31,1.471,0.029,0.032,0.312,0.627,ok,
10,"Lee, GA",33928,75.37000274658203,Cautious Expand,0.4815,0.869,1.2336478e+06,48.63,8.25,1.401,0.073,0.072,0.297,0.557,ok,pop_dampened
11,"Bryan, GA",49876,75.29000091552734,Cautious Expand,0.4767,0.8601,1.2457335e+06,50.09,8.46,1.415,0.095,0.056,0.227,0.622,ok,
12,"Bartow, GA",114977,74.47000122070312,Cautious Expand,0.4462,0.9439,1.325093e+06,59.65,9.81,1.505,0.034,0.027,0.222,0.716,ok,
13,"Henry, GA",254934,74.41999816894531,Cautious Expand,0.4558,0.9159,1.2965929e+06,56.22,9.33,1.472,0.054,0.038,0.229,0.679,ok,
14,"Coffee, GA",43464,73.29000091552734,Cautious Expand,0.4443,0.9286,1.3222708e+06,59.31,9.76,1.502,0.048,0.029,0.188,0.735,ok,
15,"Douglas, GA",149401,71.4800033569336,Cautious Expand,0.4601,0.8727,1.26446e+06,52.34,8.78,1.436,0.088,0.05,0.204,0.659,ok,
16,"Walton, GA",106778,71.44999694824219,Cautious Expand,0.4678,0.929,1.2435185e+06,49.82,8.42,1.412,0.035,0.044,0.422,0.498,ok,
17,"Cobb, GA",781208,71.05000305175781,Cautious Expand,0.4883,0.8991,1.1888269e+06,43.23,7.45,1.35,0.044,0.071,0.514,0.371,ok,
18,"Fayette, GA",123698,70.61000061035156,Cautious Expand,0.4648,0.9301,1.2457849e+06,50.09,8.46,1.415,0.034,0.045,0.418,0.503,ok,
19,"Pickens, GA",35975,70.55999755859375,Cautious Expand,0.4711,0.89,1.2289221e+06,48.06,8.17,1.396,0.059,0.063,0.365,0.512,ok,pop_dampened
