rank,county,population,score,tier,survival_prob,revenue_score,projected_revenue,sector_growth_pct,annual_growth_rate,economic_adjustment,p_shrinking,p_flat,p_moderate,p_strong,status,notes
1,"Chatham, GA",304757,100.0,Cautious Expand,0.6129,0.9292,5.2432035e+06,63.85,10.38,1.544,0.06,0.013,0.077,0.85,ok,
2,"Coweta, GA",156269,98.01000213623047,Cautious Expand,0.6158,0.9099,5.178633e+06,61.83,10.11,1.525,0.08,0.013,0.068,0.84,ok,
3,"Harris, GA",36700,90.44999694824219,Cautious Expand,0.614,0.8792,5.0429085e+06,57.59,9.52,1.485,0.094,0.034,0.09,0.782,ok,pop_dampened
4,"Carroll, GA",127293,87.87000274658203,Cautious Expand,0.6048,0.8778,5.067687e+06,58.37,9.63,1.493,0.113,0.012,0.054,0.821,ok,
5,"Bartow, GA",114977,87.1500015258789,Cautious Expand,0.6043,0.9125,5.056809e+06,58.03,9.58,1.489,0.062,0.032,0.173,0.733,ok,
6,"Coffee, GA",43464,85.27999877929688,Cautious Expand,0.5897,0.9127,5.1430225e+06,60.72,9.95,1.515,0.072,0.02,0.104,0.805,ok,
7,"Hall, GA",218248,77.3499984741211,Cautious Expand,0.6136,0.8723,4.784716e+06,49.52,8.38,1.409,0.085,0.053,0.273,0.588,ok,
8,"Walton, GA",106778,75.41999816894531,Cautious Expand,0.6071,0.8598,4.796482e+06,49.89,8.43,1.413,0.1,0.05,0.228,0.622,ok,
9,"Muscogee, GA",201959,74.62999725341797,Cautious Expand,0.6044,0.8878,4.8021855e+06,50.07,8.46,1.414,0.067,0.057,0.307,0.57,ok,
10,"Jackson, GA",88723,74.0999984741211,Cautious Expand,0.6124,0.7998,4.728998e+06,47.78,8.12,1.393,0.177,0.028,0.094,0.7,ok,
11,"Polk, GA",44363,73.83000183105469,Cautious Expand,0.5919,0.8384,4.88647e+06,52.7,8.84,1.439,0.145,0.021,0.081,0.753,ok,
12,"Columbia, GA",165470,73.38999938964844,Cautious Expand,0.6146,0.8068,4.697106e+06,46.78,7.98,1.384,0.155,0.047,0.151,0.646,ok,
13,"Baldwin, GA",43423,69.41000366210938,Cautious Expand,0.5971,0.8572,4.7530435e+06,48.53,8.23,1.4,0.096,0.059,0.257,0.589,ok,
14,"Whitfield, GA",104147,69.2699966430664,Cautious Expand,0.6002,0.8792,4.726255e+06,47.7,8.11,1.392,0.071,0.062,0.343,0.524,ok,
15,"Newton, GA",120529,67.37000274658203,Cautious Expand,0.5949,0.8115,4.7287695e+06,47.77,8.12,1.393,0.155,0.042,0.137,0.667,ok,
16,"Greene, GA",20733,66.31999969482422,Strong Expand,0.6325,0.7376,4.4273935e+06,38.36,6.71,1.304,0.153,0.137,0.221,0.489,ok,pop_dampened
17,"Floyd, GA",100407,65.5999984741211,Cautious Expand,0.5986,0.7889,4.6633565e+06,45.73,7.82,1.374,0.183,0.035,0.119,0.663,ok,
18,"Cherokee, GA",287243,65.13999938964844,Strong Expand,0.6237,0.8224,4.4669285e+06,39.59,6.9,1.316,0.103,0.094,0.402,0.401,ok,
19,"Bryan, GA",49876,64.8499984741211,Cautious Expand,0.6142,0.7558,4.53024e+06,41.57,7.2,1.334,0.21,0.042,0.133,0.614,ok,
20,"Tift, GA",41620,64.62000274658203,Cautious Expand,0.6007,0.826,4.6269425e+06,44.59,7.65,1.363,0.119,0.069,0.272,0.54,ok,
21,"Oconee, GA",44256,64.5199966430664,Strong Expand,0.6356,0.7315,4.3709655e+06,36.59,6.44,1.287,0.211,0.072,0.204,0.513,ok,
22,"Liberty, GA",68235,64.08999633789062,Cautious Expand,0.5912,0.831,4.690274e+06,46.57,7.95,1.381,0.12,0.061,0.233,0.586,ok,
23,"Barrow, GA",93011,63.869998931884766,Cautious Expand,0.6029,0.8585,4.594825e+06,43.59,7.5,1.353,0.084,0.071,0.391,0.453,ok,
24,"Richmond, GA",205646,62.310001373291016,Cautious Expand,0.5969,0.8415,4.608897e+06,44.03,7.57,1.358,0.097,0.076,0.334,0.492,ok,
25,"Peach, GA",28807,61.72999954223633,Cautious Expand,0.5977,0.7691,4.5906185e+06,43.46,7.48,1.352,0.159,0.09,0.152,0.599,ok,pop_dampened
26,"Fayette, GA",123698,59.81999969482422,Strong Expand,0.6286,0.7369,4.3278115e+06,35.24,6.22,1.275,0.185,0.097,0.274,0.443,ok,
27,"Morgan, GA",21537,58.93000030517578,Cautious Expand,0.6169,0.7102,4.3925795e+06,37.27,6.54,1.294,0.187,0.128,0.165,0.519,ok,pop_dampened
