rank,county,population,score,survival_prob,revenue_score,projected_revenue,sector_growth_pct,annual_growth_rate,economic_adjustment,p_shrinking,p_flat,p_moderate,p_strong,status,notes
1,"Forsyth, GA",274535,88.79,0.7929,0.9829,5.691929e+06,38.83,11.56,1.34,0.014,0.004,0.028,0.954,ok,
2,"Cherokee, GA",287243,88.77,0.7924,0.9831,5.6722545e+06,38.35,11.43,1.335,0.012,0.006,0.051,0.931,ok,
3,"Hall, GA",218248,88.53,0.7917,0.9789,5.649047e+06,37.78,11.27,1.33,0.014,0.009,0.066,0.911,ok,
4,"Cobb, GA",781208,88.25,0.7913,0.9736,5.6370645e+06,37.49,11.2,1.327,0.018,0.011,0.065,0.906,ok,
5,"Floyd, GA",100407,88.1,0.7913,0.9707,5.634215e+06,37.42,11.18,1.326,0.022,0.009,0.059,0.91,ok,
6,"Glynn, GA",86229,87.9,0.7913,0.9667,5.636915e+06,37.49,11.2,1.327,0.028,0.007,0.044,0.922,ok,
7,"Bulloch, GA",84332,87.65,0.7903,0.9627,5.6017835e+06,36.63,10.96,1.319,0.026,0.014,0.075,0.885,ok,
8,"Gwinnett, GA",991602,87.58,0.7878,0.9637,5.516876e+06,34.56,10.4,1.299,0.017,0.024,0.178,0.781,ok,
9,"Paulding, GA",183535,87.51,0.7896,0.9606,5.5775855e+06,36.04,10.8,1.313,0.025,0.019,0.098,0.858,ok,
10,"Gordon, GA",59844,87.45,0.7837,0.9653,5.386402e+06,31.38,9.52,1.268,0.015,0.025,0.329,0.631,ok,
11,"Fayette, GA",123698,87.43,0.789,0.9596,5.5581025e+06,35.56,10.67,1.308,0.025,0.019,0.117,0.838,ok,
12,"Douglas, GA",149401,87.4,0.7881,0.96,5.527684e+06,34.82,10.47,1.301,0.021,0.023,0.155,0.801,ok,
13,"Clarke, GA",130338,87.4,0.7877,0.9603,5.5155015e+06,34.52,10.39,1.298,0.02,0.025,0.17,0.785,ok,
