rank,county,population,score,tier,survival_prob,revenue_score,projected_revenue,sector_growth_pct,annual_growth_rate,economic_adjustment,p_shrinking,p_flat,p_moderate,p_strong,status,notes
1,"Fayette, GA",123698,100.0,Strong Expand,0.8903,0.9635,618944.4,62.88,10.25,1.535,0.022,0.018,0.199,0.761,ok,
2,"Paulding, GA",183535,90.83000183105469,Strong Expand,0.8608,0.9347,612396.94,61.16,10.01,1.519,0.046,0.024,0.16,0.77,ok,
3,"Cherokee, GA",287243,88.8499984741211,Strong Expand,0.8767,0.9502,595436.6,56.69,9.4,1.477,0.027,0.028,0.309,0.635,ok,
4,"Forsyth, GA",274535,86.26000213623047,Strong Expand,0.8791,0.9531,586119.7,54.24,9.05,1.454,0.023,0.029,0.376,0.571,ok,
5,"Bryan, GA",49876,85.80000305175781,Strong Expand,0.8696,0.9043,591090.6,55.55,9.24,1.466,0.061,0.043,0.215,0.681,ok,
6,"DeKalb, GA",768047,85.52999877929688,Strong Expand,0.8867,0.9402,578896.25,52.34,8.78,1.436,0.03,0.037,0.389,0.544,ok,
7,"Jackson, GA",88723,83.56999969482422,Strong Expand,0.8773,0.9077,579253.0,52.44,8.8,1.437,0.058,0.044,0.297,0.601,ok,
8,"Cobb, GA",781208,78.37000274658203,Strong Expand,0.8763,0.9552,564444.5,48.54,8.23,1.4,0.019,0.033,0.52,0.429,ok,
9,"Henry, GA",254934,77.81999969482422,Strong Expand,0.8754,0.89,563416.0,48.27,8.2,1.397,0.064,0.058,0.355,0.523,ok,
10,"Clarke, GA",130338,77.58000183105469,Strong Expand,0.8531,0.8647,577453.56,51.96,8.73,1.432,0.1,0.044,0.186,0.67,ok,
11,"Effingham, GA",71549,76.62000274658203,Strong Expand,0.8652,0.9185,566435.9,49.06,8.31,1.405,0.045,0.046,0.411,0.498,ok,
12,"Oconee, GA",44256,76.06999969482422,Strong Expand,0.8634,0.9123,565961.8,48.94,8.29,1.404,0.046,0.052,0.4,0.502,ok,
13,"Dawson, GA",31720,73.55000305175781,Strong Expand,0.8797,0.8465,548004.5,44.21,7.6,1.359,0.083,0.088,0.352,0.477,ok,pop_dampened
14,"White, GA",29056,73.1500015258789,Strong Expand,0.8638,0.8281,556861.2,46.54,7.94,1.381,0.1,0.09,0.243,0.567,ok,pop_dampened
15,"Columbia, GA",165470,72.19000244140625,Strong Expand,0.8716,0.9298,549043.4,44.49,7.64,1.362,0.03,0.05,0.558,0.362,ok,
16,"Union, GA",27115,71.8499984741211,Strong Expand,0.8492,0.8106,562513.6,48.03,8.16,1.395,0.115,0.093,0.159,0.633,ok,pop_dampened
17,"Walton, GA",106778,69.9000015258789,Strong Expand,0.8752,0.8636,539973.5,42.1,7.28,1.339,0.085,0.064,0.438,0.413,ok,
18,"Fulton, GA",1083971,69.3499984741211,Strong Expand,0.8865,0.9132,531471.8,39.86,6.94,1.318,0.041,0.057,0.632,0.27,ok,
19,"Hall, GA",218248,64.66000366210938,Strong Expand,0.8678,0.9114,528835.3,39.17,6.83,1.312,0.04,0.061,0.647,0.253,ok,
20,"Jones, GA",29000,64.05000305175781,Strong Expand,0.8561,0.7761,534208.75,40.58,7.05,1.325,0.138,0.108,0.255,0.499,ok,pop_dampened
21,"Gwinnett, GA",991602,63.15999984741211,Strong Expand,0.8593,0.9188,529503.5,39.34,6.86,1.313,0.035,0.057,0.661,0.246,ok,
22,"Laurens, GA",49932,62.04999923706055,Strong Expand,0.8466,0.7476,534012.3,40.53,7.04,1.325,0.214,0.048,0.135,0.603,ok,
23,"Harris, GA",36700,61.75,Strong Expand,0.8562,0.8595,527135.44,38.72,6.76,1.307,0.069,0.09,0.528,0.313,ok,pop_dampened
24,"Monroe, GA",30616,61.61000061035156,Strong Expand,0.8593,0.745,524793.44,38.1,6.67,1.302,0.174,0.102,0.225,0.5,ok,pop_dampened
25,"Bulloch, GA",84332,60.9900016784668,Strong Expand,0.8521,0.8184,527370.2,38.78,6.77,1.308,0.101,0.1,0.416,0.383,ok,
26,"Bibb, GA",156676,59.15999984741211,Strong Expand,0.8576,0.8737,518380.4,36.42,6.41,1.286,0.057,0.087,0.626,0.23,ok,
27,"Lowndes, GA",120800,56.529998779296875,Strong Expand,0.8395,0.8612,521440.3,37.22,6.53,1.293,0.059,0.1,0.577,0.264,ok,
28,"Pike, GA",20422,56.4900016784668,Strong Expand,0.8611,0.7059,508204.6,33.74,5.99,1.261,0.174,0.15,0.258,0.418,ok,pop_dampened
29,"Carroll, GA",127293,55.880001068115234,Strong Expand,0.8627,0.837,505390.47,33.0,5.87,1.254,0.069,0.117,0.63,0.183,ok,
30,"Douglas, GA",149401,55.84000015258789,Strong Expand,0.8618,0.8277,505828.47,33.11,5.89,1.255,0.072,0.125,0.605,0.197,ok,
31,"Newton, GA",120529,55.380001068115234,Strong Expand,0.8451,0.8394,514403.53,35.37,6.24,1.276,0.082,0.098,0.563,0.257,ok,
