rank,county,population,score,tier,survival_prob,revenue_score,projected_revenue,sector_growth_pct,annual_growth_rate,economic_adjustment,p_shrinking,p_flat,p_moderate,p_strong,status,notes
1,"Clayton, GA",299380,100.0,Cautious Expand,0.5595,0.7564,3.456467e+06,44.02,7.57,1.357,0.231,0.015,0.053,0.701,ok,
2,"Oconee, GA",44256,97.0,Cautious Expand,0.5616,0.8678,3.3989712e+06,41.62,7.21,1.335,0.064,0.085,0.475,0.376,ok,
3,"Chatham, GA",304757,84.2300033569336,Cautious Expand,0.5439,0.7915,3.3155165e+06,38.15,6.68,1.302,0.123,0.107,0.36,0.41,ok,
4,"Hall, GA",218248,83.98999786376953,Cautious Expand,0.5728,0.8195,3.1452802e+06,31.05,5.56,1.235,0.066,0.142,0.648,0.143,ok,
5,"Fulton, GA",1083971,82.63999938964844,Cautious Expand,0.5767,0.7689,3.1047072e+06,29.36,5.28,1.219,0.131,0.125,0.539,0.204,ok,
6,"Walton, GA",106778,74.37000274658203,Cautious Expand,0.5316,0.817,3.239075e+06,34.96,6.18,1.272,0.094,0.111,0.518,0.277,ok,
7,"Effingham, GA",71549,72.91000366210938,Cautious Expand,0.5563,0.7878,3.0738168e+06,28.08,5.07,1.207,0.097,0.144,0.639,0.12,ok,
8,"Houston, GA",171955,69.41999816894531,Cautious Expand,0.5917,0.5493,2.841135e+06,18.38,3.43,1.116,0.068,0.478,0.438,0.016,ok,
9,"Union, GA",27115,69.05000305175781,Cautious Expand,0.5448,0.7252,3.0798998e+06,28.33,5.12,1.21,0.134,0.176,0.474,0.216,ok,pop_dampened
10,"Jackson, GA",88723,67.47000122070312,Cautious Expand,0.5318,0.6539,3.1305448e+06,30.44,5.46,1.229,0.297,0.061,0.143,0.499,ok,
11,"Crisp, GA",19668,65.43000030517578,Cautious Expand,0.5193,0.6816,3.173897e+06,32.25,5.75,1.246,0.194,0.155,0.232,0.418,ok,pop_dampened
12,"Harris, GA",36700,64.6500015258789,Cautious Expand,0.5405,0.671,3.0372548e+06,26.55,4.82,1.193,0.2,0.161,0.359,0.28,ok,pop_dampened
13,"Greene, GA",20733,63.95000076293945,Cautious Expand,0.5591,0.6217,2.9258295e+06,21.91,4.04,1.149,0.174,0.255,0.407,0.163,ok,pop_dampened
14,"Bryan, GA",49876,63.470001220703125,Cautious Expand,0.5196,0.8224,3.140755e+06,30.86,5.53,1.233,0.068,0.137,0.658,0.137,ok,
15,"Walker, GA",69410,61.939998626708984,Cautious Expand,0.5736,0.5562,2.8231532e+06,17.63,3.3,1.109,0.105,0.423,0.446,0.025,ok,
