business_name,county,sector,current_revenue,employee_count,score_1y,score_3y,score_5y,founding_year,status,notes,survival_1y,revenue_score_1y,projected_revenue_1y,sector_growth_1y,survival_3y,revenue_score_3y,projected_revenue_3y,sector_growth_3y,survival_5y,revenue_score_5y,projected_revenue_5y,sector_growth_5y
Peach Street Diner,"Peach, GA",Accommodation and food services,380000,7,71.53,67.33,64.95,2019,ok,,0.8309,0.5998,418424.6,10.11,0.6269,0.7196,469555.625,23.56999969482422,0.5108,0.7882,504867.96875,32.86000061035156
Savannah Logistics Co,"Chatham, GA",Transportation and warehousing,2400000,34,70.47,63.88,62.31,2014,ok,,0.8595,0.5499,2.520219e+06,5.01,0.6637,0.614,2678391.75,11.600000381469727,0.5522,0.694,2891321.0,20.469999313354492
Blue Ridge Outfitters,"Rabun, GA","Arts, entertainment, and recreation",210000,5,66.69,54.8,48.36,2017,ok,,0.8269,0.507,211465.1,0.7,0.588,0.5081,211704.9375,0.8100000023841858,0.4536,0.5136,212862.4375,1.3600000143051147
Macon Medical Group,"Bibb, GA",Health care and social assistance,4100000,52,72.1,75.12,76.48,2003,ok,,0.8998,0.5422,4.273296e+06,4.23,0.7746,0.7278,5108227.0,24.59000015258789,0.6964,0.8333,5749371.0,40.22999954223633
Augusta Tech Staffing,"Richmond, GA",Administrative and support and waste management and remediation services,760000,11,70.58,68.76,72.35,2016,ok,,0.8438,0.5679,811898.94,6.83,0.6549,0.7202,939623.5,23.6299991607666,0.5699,0.8771,1133381.25,49.130001068115234
Valdosta Farm Supply,"Lowndes, GA","Agriculture, forestry, fishing and hunting",590000,8,63.55,44.36,31.0,1998,ok,,0.8716,0.3994,529810.2,-10.2,0.6371,0.2502,428095.1875,-27.440000534057617,0.4581,0.162,347592.875,-41.09000015258789
Columbus Financial Advisors,"Muscogee, GA",Finance and insurance,1050000,14,62.89,57.17,62.55,2009,ok,,0.8566,0.4011,944801.8,-10.02,0.6715,0.4719,1020489.625,-2.809999942779541,0.5857,0.6653,1230331.0,17.170000076293945
Athens Retail Partners,"Clarke, GA",Retail trade,830000,18,75.01,83.5,77.36,2011,ok,,0.8465,0.6536,961780.9,15.88,0.7173,0.9526,1452500.0,75.0,0.5947,0.9526,1452500.0,75.0
Gainesville Manufacturing,"Hall, GA",Durable goods manufacturing,3200000,67,78.12,82.71,83.09,2001,ok,,0.8969,0.6654,3.7501348e+06,17.19,0.7762,0.8779,4777964.0,49.310001373291016,0.7092,0.9526,5600000.0,75.0
Albany Energy Services,"Dougherty, GA",Utilities,1800000,23,69.61,61.76,56.08,2007,ok,,0.9079,0.4842,1.7716112e+06,-1.58,0.7609,0.4744,1753811.625,-2.569999933242798,0.6465,0.4752,1755337.5,-2.4800000190734863
